time,day_of_the_year,TotB,JuvB,AdB,f,deadJ_nat,deadJ_old,deadJ_starved
0,1.0,0.0,0.0,0.0,1.0,0,0,0
1,2.0,9340.702550984246,9340.702550984246,0.0,1.0,35,0,0
2,3.0,9719.42479208747,9719.42479208747,0.0,1.0,74,0,0
3,4.0,10114.283400631848,10114.283400631848,0.0,1.0,102,0,0
4,5.0,10518.562305228408,10518.562305228408,0.0,1.0,127,0,0
5,6.0,10909.258223120145,10909.258223120145,0.0,1.0,170,0,0
6,7.0,11318.609187299062,11318.609187299062,0.0,1.0,202,0,0
7,8.0,11737.827481381155,11737.827481381155,0.0,1.0,230,0,0
8,9.0,12163.087247866388,12163.087247866388,0.0,1.0,257,0,0
9,10.0,12600.304422406452,12600.304422406452,0.0,1.0,278,0,0
10,11.0,13051.758365512509,13051.758365512509,0.0,1.0,294,0,0
11,12.0,13502.555530938156,13502.555530938156,0.0,1.0,316,0,0
12,13.0,13957.417229977056,13957.417229977056,0.0,1.0,339,0,0
13,14.0,14398.93613234318,14398.93613234318,0.0,1.0,375,0,0
14,15.0,14856.283918054456,14856.283918054456,0.0,1.0,405,0,0
15,16.0,15309.68237421563,15309.68237421563,0.0,1.0,438,0,0
16,17.0,15791.783727868124,15791.783727868124,0.0,1.0,459,0,0
17,18.0,16282.150767087302,16282.150767087302,0.0,1.0,479,0,0
18,19.0,16767.742801518685,16767.742801518685,0.0,1.0,505,0,0
19,20.0,17262.924742000687,17262.924742000687,0.0,1.0,527,0,0
20,21.0,17735.967386621218,17735.967386621218,0.0,1.0,564,0,0
21,22.0,18227.54315925678,18227.54315925678,0.0,1.0,594,0,0
22,23.0,18751.454854168223,18751.454854168223,0.0,1.0,613,0,0
23,24.0,19258.452957112197,19258.452957112197,0.0,1.0,642,0,0
24,25.0,19767.862110731974,19767.862110731974,0.0,1.0,672,0,0
25,26.0,20295.313144479092,20295.313144479092,0.0,1.0,696,0,0
26,27.0,20811.25241644493,20811.25241644493,0.0,1.0,727,0,0
27,28.0,21347.724856876568,21347.724856876568,0.0,1.0,753,0,0
28,29.0,21865.106171287895,21865.106171287895,0.0,1.0,788,0,0
29,30.0,22418.759795963888,22418.759795963888,0.0,1.0,810,0,0
30,31.0,22932.77794805799,22932.77794805799,0.0,1.0,850,0,0
31,32.0,23489.183881731413,23489.183881731413,0.0,1.0,875,0,0
32,33.0,24044.038460882955,24044.038460882955,0.0,1.0,903,0,0
33,34.0,24589.83264490099,24589.83264490099,0.0,1.0,936,0,0
34,35.0,25171.16037890464,25171.16037890464,0.0,1.0,957,0,0
35,36.0,25761.10532488318,25761.10532488318,0.0,1.0,978,0,0
36,37.0,26343.652014701387,26343.652014701387,0.0,1.0,1003,0,0
37,38.0,26934.64544598419,26934.64544598419,0.0,1.0,1026,0,0
38,39.0,27537.83659402721,27537.83659402721,0.0,1.0,1048,0,0
39,40.0,28138.777513756002,28138.777513756002,0.0,1.0,1072,0,0
40,41.0,28747.622069931327,28747.622069931327,0.0,1.0,1095,0,0
41,42.0,29361.805193294218,29361.805193294218,0.0,1.0,1118,0,0
42,43.0,29981.18685164404,29981.18685164404,0.0,1.0,1141,0,0
43,44.0,30599.18163057935,30599.18163057935,0.0,1.0,1166,0,0
44,45.0,31255.961987173476,31255.961987173476,0.0,1.0,1181,0,0
45,46.0,31882.57695674111,31882.57695674111,0.0,1.0,1207,0,0
46,47.0,32484.714517982433,32484.714517982433,0.0,1.0,1239,0,0
47,48.0,33143.09791093002,33143.09791093002,0.0,1.0,1258,0,0
48,49.0,33769.65071403397,33769.65071403397,0.0,1.0,1285,0,0
49,50.0,34389.179523392064,34389.179523392064,0.0,1.0,1316,0,0
50,51.0,35034.50918119702,35034.50918119702,0.0,1.0,1342,0,0
